date,stock,open,high,low,close,volume
2014-01-01,STK_00,100.13429250215502,101.8723308042622,99.49815031655211,100.54673581525412,609673
2014-01-02,STK_00,104.25998298223543,105.53947941556694,102.50233486851617,103.72051469341889,297628
2014-01-03,STK_00,106.98221722632765,107.83977564907445,104.67649124406539,106.1015404172407,605629
2014-01-06,STK_00,107.88780435277094,109.40213071441053,107.24587801809868,108.23450653896042,211308
2014-01-07,STK_00,110.30753351234324,111.91297762967906,108.64287449989442,109.54218345851125,175255
2014-01-08,STK_00,110.20623438253006,111.06499928161142,108.32013556313402,110.91919075286795,680562
2014-01-09,STK_00,110.52012041188169,111.48384149965717,109.07887346689546,110.67013300480679,396060
2014-01-10,STK_00,111.77960700575223,113.7098346905084,109.65275176477786,111.68729054060262,801202
2014-01-13,STK_00,108.649659748969,109.69596104319328,108.25009074457324,108.4665313321352,362100
2014-01-14,STK_00,106.10547842136644,106.52862490593114,103.4839259065936,105.02706139765847,364137
2014-01-15,STK_00,107.8073377689056,107.97719574756239,107.39994936548536,107.71562585584401,711702
2014-01-16,STK_00,108.02273943193586,108.30500798913974,107.16858113242066,108.18892817541513,491733
2014-01-17,STK_00,111.97000569615102,112.34439608003771,111.42305433537081,112.07536835680632,369781
2014-01-20,STK_00,114.25897024313483,114.9259161799653,113.6665494766144,114.42005549943684,608195
2014-01-21,STK_00,112.23216273383797,113.5724672124119,109.23663190333228,112.91635840946654,32228
2014-01-22,STK_00,113.39789928336772,115.54722988653822,113.20957901219731,113.9233905630683,445903
2014-01-23,STK_00,113.92186070575652,114.4122392902775,113.71293694836046,114.06862924376817,732094
2014-01-24,STK_00,115.1606236859325,115.21230987852604,113.55371023122991,114.74313964376256,170377
2014-01-27,STK_00,115.2442020046898,116.20726113983818,114.31956519116021,114.94411995826157,643299
2014-01-28,STK_00,117.45090989237761,118.013319631276,116.49197519105431,117.13838685305201,593986
2014-01-29,STK_00,112.08540879574338,112.4321773548993,111.18243282463517,112.43056893848171,464323
2014-01-30,STK_00,110.2497622964343,111.23567622337703,109.05301065500964,110.33797546139779,922122
2014-01-31,STK_00,111.81578499395131,114.12271119039434,111.58270366156415,112.33815906011084,503592
2014-02-03,STK_00,111.65000564516741,112.49141507418864,111.29656547665722,112.00597212831573,811344
2014-02-04,STK_00,117.18450250712928,117.24909143997888,116.7966452365951,117.19524262793344,124467
2014-02-05,STK_00,113.78159194324594,117.0222821125876,113.43846430513118,114.45153999302956,512887
2014-02-06,STK_00,114.73658053694274,115.65124702017705,113.5282471737996,114.95417355585543,192071
2014-02-07,STK_00,120.18712570647686,120.78156243587412,117.8000612373735,118.77548765995401,260276
2014-02-10,STK_00,113.82828952921508,114.96283048648246,113.15110210122036,113.94984422788359,34950
2014-02-11,STK_00,112.91180159457205,113.07974800779037,112.11834233997698,112.3349419996957,729004
2014-02-12,STK_00,115.11423872675468,115.19774207235079,113.91964311787738,114.38033963456084,252498
2014-02-13,STK_00,112.97813096458889,114.46349176886753,112.64819937717154,112.75827818766153,654612
2014-02-14,STK_00,112.48237186241765,112.95291652754861,111.51685129872293,112.37515861993937,613936
2014-02-17,STK_00,111.72069868628645,112.87603030344715,109.7096635063926,111.88076077065813,312414
2014-02-18,STK_00,112.4462274402171,112.5812096663862,109.58595029352038,111.63772585956566,613375
2014-02-19,STK_00,112.43281524061517,113.5926982586326,111.08227858805552,113.21089365886374,148256
2014-02-20,STK_00,113.19438843142892,113.8940474611098,112.7456384789664,113.23912714342666,222549
